file,sent,antecedent,head_noun_in_main_clause,animacy,clause verb,filler_gap_distance,restrictiveness,relativizer,head_noun_in_rc,relative_clause,relative_clause_length
1791_George_Washington.txt,"""In vain may we expect peace with the Indians on our frontiers so long as a lawless set of unprincipled wretches can violate the rights of hospitality, or infringe the most solemn treaties, without receiving the punishment they so justly merit.""",punishment,dobj,inanimate,merit,4,restrictive,zero,dobj,they so justly merit,4
1791_George_Washington.txt,"I meet you upon the present occasion with the feelings which are naturally inspired by a strong impression of the prosperous situations of our common country, and by a persuasion equally strong that the labors of the session which has just commenced will, under the guidance of a spirit no less prudent than patriotic, issue in measures conducive to the stability and increase of national prosperity.",feelings,pobj,inanimate,inspired,4,restrictive,which,nsubjpass,which are naturally inspired by a strong impression of the prosperous situations of our common country,16
1791_George_Washington.txt,"I meet you upon the present occasion with the feelings which are naturally inspired by a strong impression of the prosperous situations of our common country, and by a persuasion equally strong that the labors of the session which has just commenced will, under the guidance of a spirit no less prudent than patriotic, issue in measures conducive to the stability and increase of national prosperity.",labors,nsubj,inanimate,commenced,7,restrictive,which,nsubj,which has just commenced,4
1791_George_Washington.txt,"Numerous as are the providential blessings which demand our grateful acknowledgments, the abundance with which another year has again rewarded the industry of the husbandman is too important to escape recollection.",blessings,nsubj,inanimate,demand,2,restrictive,which,nsubj,which demand our grateful acknowledgments,5
1791_George_Washington.txt,But you nevertheless can not fail to derive satisfaction from the confirmation of these circumstances which will be disclosed in the several official communications that will be made to you in the course of your deliberations.,circumstances,pobj,inanimate,disclosed,4,restrictive,which,nsubjpass,which will be disclosed in the several official communications that will be made to you in the course of your deliberations,21
1791_George_Washington.txt,But you nevertheless can not fail to derive satisfaction from the confirmation of these circumstances which will be disclosed in the several official communications that will be made to you in the course of your deliberations.,communications,pobj,inanimate,made,4,restrictive,that,nsubjpass,that will be made to you in the course of your deliberations,12
1791_George_Washington.txt,"The rapid subscriptions to the Bank of the United States, which completed the sum allowed to be subscribed in a single day, is among the striking and pleasing evidences which present themselves, not only of confidence in the Government, but of resource in the community.",evidences,pobj,inanimate,present,2,restrictive,which,nsubj,"which present themselves , not only of confidence in the Government , but of resource in the community",18
1791_George_Washington.txt,In the interval of your recess due attention has been paid to the execution of the different objects which were specially provided for by the laws and resolutions of the last session.,objects,pobj,inanimate,provided,4,restrictive,which,nsubjpass,which were specially provided for by the laws and resolutions of the last session,14
1791_George_Washington.txt,"Accordingly, at the same time the treaties have been provisionally concluded and other proper means used to attach the wavering and to confirm in their friendship the well-disposed tribes of Indians, effectual measures have been adopted to make those of a hostile description sensible that a pacification was desired upon terms of moderation and justice.",time,pobj,inanimate,concluded,6,restrictive,zero,dobj,the treaties have been provisionally concluded,6
1791_George_Washington.txt,"The expeditions which have been completed were carried on under the authority and at the expense of the United States by the militia of Kentucky, whose enterprise, intrepidity, and good conduct are entitled of peculiar commendation.",expeditions,nsubjpass,inanimate,completed,4,restrictive,which,nsubjpass,which have been completed,4
1791_George_Washington.txt,"That the mode of alienating their lands, the main source of discontent and war, should be so defined and regulated as to obviate imposition and as far as may be practicable controversy concerning the reality and extent of the alienations which are made.",alienations,pobj,inanimate,made,3,restrictive,which,nsubjpass,which are made,3
1791_George_Washington.txt,It is hoped that the circumspection which has been used will be found in the result to have secured the last of the two objects [see APP Note]; but it is probable that with a view to the first in some instances a revision of the provision will be found advisable.,circumspection,nsubjpass,inanimate,used,4,restrictive,which,nsubjpass,which has been used,4
1791_George_Washington.txt,"The novelty, however, of the tax in a considerable part of the United States and a misconception of some of its provisions have given occasion in particular places to some degree of discontent; but it is satisfactory to know that this disposition yields to proper explanations and more just apprehensions of the true nature of the law, and I entertain a full confidence that it will in all give way to motives which arise out of a just sense of duty and a virtuous regard to the public welfare.",motives,pobj,inanimate,arise,2,restrictive,which,nsubj,which arise out of a just sense of duty and a virtuous regard to the public welfare,17
1791_George_Washington.txt,"If there are any circumstances in the law which consistently with its main design may be so varied as to remove any well-intentioned objections that may happen to exist, it will consist with a wise moderation to make the proper variations.",circumstances,nsubj,inanimate,varied,13,restrictive,which,nsubj,which consistently with its main design may be so varied as to remove any well-intentioned objections that may happen to exist,21
1791_George_Washington.txt,"If there are any circumstances in the law which consistently with its main design may be so varied as to remove any well-intentioned objections that may happen to exist, it will consist with a wise moderation to make the proper variations.",objections,dobj,inanimate,happen,3,restrictive,that,nsubj,that may happen to exist,5
1791_George_Washington.txt,"A city has also been laid out agreeably to a plan which will be placed before Congress, and as there is a prospect, favored by the rate of sales which have already taken place, of ample funds for carrying on the necessary public buildings, there is every expectation of their due progress.",plan,pobj,inanimate,placed,4,restrictive,which,nsubjpass,which will be placed before Congress,6
1791_George_Washington.txt,"A city has also been laid out agreeably to a plan which will be placed before Congress, and as there is a prospect, favored by the rate of sales which have already taken place, of ample funds for carrying on the necessary public buildings, there is every expectation of their due progress.",sales,pobj,inanimate,taken,4,restrictive,which,nsubj,which have already taken place,5
1791_George_Washington.txt,"Another, on like terms, for 6,000,000 florins, had been set on foot under circumstances that assured an immediate completion.",circumstances,pobj,inanimate,assured,2,restrictive,that,nsubj,that assured an immediate completion,5
1791_George_Washington.txt,Two treaties which have been provisionally concluded with the Cherokees and Six Nations of Indians will be laid before you for your consideration and ratification.,treaties,nsubjpass,inanimate,concluded,5,restrictive,which,nsubjpass,which have been provisionally concluded with the Cherokees and Six Nations of Indians,13
1791_George_Washington.txt,"The important objects which remain to be accomplished will, I am persuaded, be conducted upon principles equally comprehensive and equally well calculated of the advancement of the general weal.",objects,nsubjpass,inanimate,remain,2,restrictive,which,nsubj,which remain to be accomplished,5
